corpus_id,query_id,score,original_query,document_text,synthetic_query,assigned_task_type
c:vabb:431582,5950,1,In hogere sferen. Spirituele en grootstedelijke zachte trance in  beeld en klank,"Relaas over het onderzoeksproject 'Urban trance', uitgevoerd door Foyer vzw, met fotografie van Kim Uytterhaegen, film Henri Erumba en muziek van Brent Vanneste. Het gaat over het fenomeen van de zachte trance zoals het zich voordoet in sommige Brusselse volkswijken, bij islamitische broederschappen, pentecostaals christelijke kerkgemeenschappen en sommige boeddhistische verenigingen. De gemeenschappen sluiten etnisch aan bij de Iraanse, Rwandese, Braziliaanse, Roma Roemeense en Marokkaanse gemeenschappen.",Zijn spirituele trance-fenomenen aanwezig in diverse stedelijke geloofsgemeenschappen?,Task_3
c:vabb:324439,2138,1,Verkoop tussen echtgenoten versus verkoop tussen partners die ongehuwd samenwonen,huwelijksvermogensrecht - gelijkheid en niet-discriminatie - scheiding van goederen,Hoe beïnvloedt een gescheiden vermogen de gelijkheid binnen een huwelijk?,Task_1
c:vabb:388926,4738,1,Brussel: een geval apart.,"De bijdrage levert een overzicht van de capaciteitsvragen zoals die zich voordoen in Brussel. 
<br/>- de prognoses over de omvang en de evolutie van de schoolbevolking
<br/>- impact van keuzeprocessen en inschrijvingsbeleid 
<br/>- de beleids- en sturingsprocessen in Brussel.","Analyseer de impact van schoolbevolking, beleid en inschrijvingen op stedelijke schoolcapaciteit.",Task_2
c:vabb:83206,9202,1,Outsourcing van VN-vredesoperaties. Het wondermiddel voor de Verenigde Naties?,"Deze bijdrage onderzoekt de opportuniteiten en uitdagigingen die de (mogelijke) betrokkenheid van regionale organisaties en private military companies bij vredesoperaties, stelt voor de VN en het collectieve veiligheidssysteem.",Wat zijn de gevolgen van private militaire bedrijven en regionale organisaties voor VN vredesoperaties?,Task_3
c:vabb:509839,7659,1,‘Dan is woensdag een mooie dag om dood te gaan’. Over 'Het hele leven' van Bart Moeyaert,"'Dan is woensdag een mooie dag om dood te gaan'. Over Het hele leven van Bart Moeyaert. Sofie Gielis Bart Moeyaert maakt het me moeilijk. Is dit nu later? zingt het in mijn hoofd als ik zijn Het hele leven dichtklap. Ik snap geen donder van het leven / Ik weet nog steeds niet wie ik ben. Zo'n titel lijkt antwoorden te beloven. Op Grote Vragen dan nog wel. Maar Moeyaert poeiert je naar aloude Bijbelse traditie af met meer vragen dan antwoorden. Zoals: is elk einde eenzaam? Of: als je jezelf naast God plaatst, ben je dan extreem gelovig of net extreem ongelovig? Begint de hemel op de aarde? En is dat ook niet waar hij eindigt? Vragen, vragen, vragen maar ze zijn gelukkig aangenaam gezelschap. De bevreemdende troost van Moeyaerts versie is meer een hemel op mensenmaat dan het klassieke paradijs. Klassiek zijn deze verhalen over de schepping, het paradijs en de hemel niet. In Moeyaerts hemel ben je vergeetachtig en eenzaam, in zijn paradijs woekeren de bramen en stinkt de met modder overspoelde grond en voor zijn schepping is, naast God, vooral een stoel nodig-'om op te zitten, want er is heel lang niets geweest.' De drie delen van de roman verschenen al eerder. De Schepping in 2003, Het Paradijs in 2010 en De Hemel in 2015. Ze vormden de aanleiding voor steeds aanzwellende samenwerkingen. Eerst met het Nederlands Blazers Ensemble dat Moeyaerts teksten fris combineerde met drie oratoria van Joseph Haydn. Voor deze gebundelde editie van de trilogie voegde illustrator Peter Van den Ende beelden toe die lijken te antwoorden op de tekst en zo een extra blik bieden. Van den Ende is ook in dat Paradijs geweest, met die stoel en die braambessen, maar zag het weer net even anders. De schijnbaar simpele, maar stiekem rijke tekeningen zijn een ideale aanvulling. Het zwart/wit, de meest elementaire non-kleuren, sluit aan bij de misleidende doorzichtigheid van de tekst en Van den Ende herhaalt details waar de gehaaste lezer misschien te weinig aandacht aan besteedt. Zoals die stoel. Wat doet een stoel bij het 'In het begin was er niets'? En wat doet een ik daar, naast God? Terwijl er nog geen licht bestaat, geen zee, geen lucht. De schepping begint met niets, een ik en een stoel. Dat lijkt verdacht veel op een voor een schrijver bekende setting: je zit, denkt na, beweegt een paar vingers, en voor je het weet ontstaat een wereld. God heeft daar doorgaans weinig mee te maken. De schrijver is de schepper, zoals we reuzen zijn voor de mieren. Hij roept op en kan weer wissen. Zonder beweging van zijn vingers, ontstaat er niets. Heer en meester van Moeyaerts schepping lijkt eerder die schrijvende mierengod dan de machtige man met de baard. Het is de verbeelding die tot leven wekt. Vooral in het intrigerende laatste deel, De Hemel. Moeyaerts hemel bevat elementen die in andere schrijvershanden wellicht de hel zouden kleuren: tijd die zich vult met het geluid van een lekkende kraan, eenzaamheid van het extreme type dat doet vergeten hoe je een kus moet ontvangen,",Hoe conceptualiseert literatuur de schrijver als schepper van werelden?,Task_1
c:vabb:83134,9165,1,Koninklijk Besluit van 30 november 2006 tot vaststelling van de cassatieprocedure bij de Raad van State,Artikelsgewijze bespreking van de bepalingen van het Koninklijk Besluit van 30 november 2006 tot vaststelling van de cassatieprocedure bij de Raad van State (rechtspraak en rechtsleer),Gedetailleerde bespreking bepalingen cassatieprocedure hoogste administratieve rechtscollege met rechtspraak en rechtsleer,Task_2
c:vabb:270423,683,1,Duurzame ontwikkeling: een opgave voor het sociaal werk? Een normatieve kijk,"Dat een ecologisch discours en daarop betrokken normatieve principes binnen het sociaal werk tot nu toe in grote mate afwezig bleven wekt minstens verwondering. Waar goed sociaal werk zich steeds betrekt op de omgeving, blijft dit veelal beperkt tot de sociale omgeving. En omdat duurzame ontwikkeling in eerste instantie geassocieerd wordt met milieuzorg – zoals overigens ook in de bredere samenleving gebeurt – ziet men dat niet als een zaak voor het sociaal werk. Anderzijds stellen we vast dat er een reëel verband is tussen heel wat sociale en ecologische problemen. We zien daarom ook een ontwikkeling van ecologisch georiënteerde praktijken in het werkveld. Maar dat heeft tot nu toe nauwelijks – zeker niet in Vlaanderen – geleid tot een fundamentele bijstelling van de denkkaders van het sociaal werk. Hoe zit dat dan met de ecologische crisis? Op welke manier is die relevant voor het sociaal werk? Op deze vragen willen we in deze bijdrage ingaan, vooral vanuit een normatief oogpunt.",Bevestigen studies fundamentele bijstelling denkkaders sociaal werk door ecologie?,Task_3
c:vabb:326212,2308,1,Van digitale kloof naar digitale inclusie. Naar een duurzame ondersteuning van e-inclusie-initiatieven in Vlaanderen,Dit artikel focust op de evolutie van de digitale kloof en de manier waarop middenveldorganisaties hierop een antwoord bieden via e-inclusie initiatieven. In het empirisch onderzoek worden initiatieven bevraagd over 1) hun modus operandi; 2) hun pedagogische aanpak; en 3) hun lokale inbedding en duurzaamheid. Aanvullend werden brainstormsessies met diverse stakeholders georganiseerd waarin nagedacht werd over beleidsmaatregelen voor huidige drempels.,Hoe pakken middenveldorganisaties de digitale kloof aan met e-inclusie initiatieven?,Task_1
c:vabb:300938,1497,1,"Kathedralen lezen. Vrouwelijke middelaressen, theologie en politiek in de beeldhouwwerken van de kathedraal Notre-Dame te Reims.","De Romeinse provinciehoofdstad Reims wist zich ook na de volksverhuizingen een machtspositie te verwerven: het aartsbisdom Reims wist zich blijvend op te werpen als de kerk waarin de koningen van Frankrijk gezalfd en gekroond werden. De bijdrage toont de ontwikkeling van mythen en legenden die de stichting van Reims met die van Rome, en de bekering van Clovis met die van Constantijn in verbinding brachten. De geschiedenissen van Gregorius van Tours, van Flodoardus van Reims, en het Leven van de Heilige Remigius geschreven door Hincmar aartsbisschop van Reims, tonen de ontwikkeling van steeds grotere machtsaanspraken voor de Kerk in het algemeen en voor de kerk van Reims in het bijzonder. In al deze verhalen spelen vrouwen (Clothilde, de Heilige Helena, later Jeanne d’ Arc) de rol van middelares, wat hen vergelijkbaar maakt met vrouwe Ecclesia en met de Middelares waaraan de kathedraal Notre-Dame is opgedragen. De zeer rijke iconografie waarvoor de dertiende-eeuwse kathedraal van Reims terecht beroemd is, laat toe deze legenden en deze aanspraken ook te lezen in steen.","Hoe werden kerkelijke machtsaanspraken gevormd door mythen, legenden en iconografie?",Task_2
c:vabb:462367,6593,1,Een verkenning van stop- of cessatiegedrag bij adolescente en jongvolwassen spelers van online digitale games,"Door de toevloed aan gratis games met in-game aankopen en maandelijkse abonnees wordt het steeds belangrijker om spelers bij een bepaalde game te houden. Deze interviewstudie dient als een eerste verkenning van stop- of cessatiegedrag bij jonge spelers van online digitale games. Hieruit blijkt dat niet-ingeloste startmotivaties, negatieve ervaringen tijdens het spelen, en vrienden of familie ervoor zorgen dat gamers stoppen met spelen.",Welke factoren bepalen dat jonge gamers stoppen met spelen?,Task_3
c:vabb:388999,4747,1,Themanummer: China and de EU partners of rivalen?,"De relatie tussen China en Europa heeft in de voorbije twee decennia voortdurend aan impact gewonnen. Ze is ook meer omvattend geworden en behelst naast handel steeds meer politieke, sociale en culturele aspecten. De interdependentie tussen de twee partijen is gestaag toegenomen en sinds 2003 erkennen China en de EU elkaar als strategische partners. Toch zijn de twee partners er vooralsnog niet in geslaagd om een strategische dimensie van enige betekenis aan hun relatie toe te voegen. De samenwerking tussen de twee partijen wordt moeilijker naarmate de randvoorwaarden van hun relatie verschuiven. China's opkomst en groeiende armslag hebben niet alleen een invloed op de positie van Europa in de wereldwijde verdeling van macht, ze vormen ook een uitdaging voor de Europese identiteit. China en Europa verschillen zeer sterk van elkaar op het vlak van cultuur, geschiedenis, economie, politiek systeem en stadium van ontwikkeling. Bovendien zien China en de EU zich geconfronteerd met groeiende wrijvingen in hun economische en handelsbetrekkingen. Beide partijen staan onderdruk om hun relatie opnieuw bekijken. Zij moeten elk voor zich uitmaken welke belangen zij beschouwen als de drijvende krachten voor samenwerking en moeten vervolgens overeenstemming bereiken over die belangen waarop zij de pijlers van een werkelijk strategisch partnerschap willen bouwen. Daarbij is het zaak om de uiteenlopende percepties van fundamentele waarden te overstijgen en een pragmatische consensus te bereiken over hoe complementaire en wederzijds ondersteunende beleidslijnen kunnen worden uitgestippeld. Voor de EU bestaat de uitdaging er in orde op zaken te stellen. Als Europa constructief en op effectieve wijze met China wil omgaan, zal het zich zelf eerst collectief moeten engageren. Voor Peking is het tijd om te articuleren hoe het zijn rol ziet in de mondiale bestuursstructuren en op welke wijze het zijn relatie met Europa wenst uit te bouwen.
<br/>	De bijdragen aan het onderhavige themanummer doen verslag van empirisch onderzoek van eigen bodem dat toelaat een aantal cruciale aspecten van de relatie tussen de EU en China meer genuanceerd in the schatten. Thijs Van de Graaf onderzoekt in zijn artikel de EU-China relaties met betrekking tot de twee belangrijkste hernieuwbare energiesectoren: wind- en zonne-energie. Hij komt tot de vaststelling dat, hoewel er bronnen voor handelsgeschillen in beide sectoren zijn geweest, handelsfricties het meest zijn voorgekomen in de zonne-energiesector. De reden is een dubbel onevenwicht tussen de productie en installatie van zonnepanelen, zowel geografisch (China produceert het grootste deel van zijn zonnepanelen vrijwel uitsluitend voor de export) en numeriek (structurele overcapaciteit). Toch is het beeld van een zero-sum bilaterale handel oorlog over zonnepanelen overdreven want er zijn zowel voor- als tegenstanders van de handelsbeschermingsmaatregelen in China en de EU. De studie stelt verder dat het zonnegeschil een onderdeel is van een wereldwijde golf  van handelsfricties in de schone energiesector en het verkent wegen om het probleem op te lossen door middel van onderhandelingen over een multilaterale overeenkomst inzake milieugoederen en-diensten.
<br/>Sara Hoeymissen,  gaat in haar artikel dieper in op China's visie en zijn rol bij de beheersing van complexe interne conflicten. Complexe interne conflicten en de ernstige humanitaire gevolgen die ze vaak hebben, behoren in principe tot de interne aangelegenheden van de soevereine staat waar ze plaatsvinden. Sinds de jaren '90 speelt de internationale gemeenschap echter een steeds grotere rol in de beheersing van dergelijke conflicten. Wat voor een partner kunnen de Europese Unie en haar bondgenoten op dit vlak vinden in China? Vanuit het perspectief van identiteit en rolconcepties belicht dit artikel het Chinese debat rond het principe van niet-inmenging in interne aangelegenheden. Deze decennialange hoeksteen van het Chinese buitenlands beleid staat ter discussie. Het artikel onderzoekt de veranderende zelfbeelden die leiden tot de zoektocht naar een nieuwe rol voor China maar wijst anderzijds op de voortdurende invloed van oudere identiteiten. De empirische focus ligt op Afrika, met voorbeelden uit het Chinese beleid ten aanzien van recente Afrikaanse complexe crisissen.
<br/>Duncan Freeman's bijdrage biedt een grondige analyse van China's uitgaande investeringen. De uitgaande investeringspolitiek van China trekt niet enkel de aandacht omwille van beleidsredenen, maar ze wordt ook besproken in het academisch debat over de rol van bronland-specifieke instituties in de buitenlandse investering. Formele instituties, onder de vorm van regeringsbeleid en voorschriften, zijn altijd van kapitaal belang geweest voor China's uitgaande investeringen. Duncan Freeman  maakt een gedetailleerde analyse van Chinese beleids- en reglementeringsdocumenten die de motivaties, inhoud en gevolgen van de investeringspolitiek aangeven. Hij beargumenteert dat de investeringspolitiek gedetermineerd wordt door complexe en evoluerende factoren, en dat onderdelen van het beleid soms niet coherent zijn, maar onderling conflicteren. Bovendien stelt hij dat het beleid veelvuldige onbedoelde gevolgen voortbrengt en dat de ondernemingen, waaronder ook die in staatseigendom, proberen om onder de beperkingen van het regeringsbeleid en de voorschriften uit te komen. De verhouding tussen de Chinese instituties en het ondernemingsgedrag is dus complex en kan niet eenduidig gekarakteriseerd worden als een beperking of een bevordering van de uitgaande investeringen.",Hoe is de strategische relatie tussen Europa en China geëvolueerd?,Task_1
c:vabb:342393,3128,1,Belastingen versus mensenrechten: kan de fiscus nog controleren na Chambaz? (noot bij EHRM 5 april 2012),Zwijgrecht en administratieve onderzoeken,Hoe wordt het recht om te zwijgen toegepast in administratieve procedures?,Task_2
c:vabb:525571,8233,1,Totemistische leegte,"Dit essay begint met een beschouwing over hedendaagse voedseltaboes. Dat het vlees van bepaalde diersoorten vandaag als oneetbaar geldt, zegt meer over het zelfbeeld van de westerse mens dan over smaak of voedingswaarde. Het klassieke verband tussen voedseltaboes en totemisme, uiteengezet door Claude Lévi-Strauss in Het wilde denken, is verdampt; we vereren geen totems, waarvan het vlees niet gegeten mag worden. Hedendaagse trends zoals het glutenvrije dieet missen een fundamentele inbedding in de orde van de natuur.
The Texas Chainsaw Massacre (Tobe Hooper, 1974) is een slasher-film die begrepen kan worden als een verkapte sociologische studie over een groep uitgerangeerde koeienslachters. De leden van deze neoprimitieve clan – werkloos geraakt door de mechanisering van de vleesindustrie – houden dwangmatig vast aan hun archaïsche beroepspraktijk: het slachten met een klap van de voorhamer (hun totem). Het eten van geroosterd mensenvlees is de overlevingsstrategie van deze geïsoleerde en gemarginaliseerde microgemeenschap. Haar tragiek is dat ze geen schakel vormt in een reeks gelijkwaardige clans; daarmee vervalt de mogelijkheid van totemisme, volgens Lévi-Strauss.
In de twintigste eeuw is de structurele correspondentie tussen biologische soorten (planten/dieren) en mensengroepen uiteengevallen. Door toedoen van genetische manipulatie is een cultuur ontstaan die niet meer gericht is op het maken van classificaties van de natuur, maar die zelf natuur maakt. De genetische code van de natuur bestaat uit reeksen letters die de mens naar believen een alternatieve rangschikking geeft. Door deze omwenteling is de natuurlijke wereld deel geworden van een semantisch universum: de mens stelt een vraag aan de natuur en krijgt daarop een antwoord dat hij in feite zelf heeft geformuleerd.
Naast The Texas Chainsaw Massacre behandel ik de Russische film 4 (Ilya Chrzjanovski, 2005), een groteske allegorie van de post-sovjetmaatschappij. Deze samenleving wordt beheerst door een politiek van gemanipuleerde informatie, corruptie en getransformeerde natuur. De afwezigheid van totems zet zich in deze film verder door. De lege plaats van de totem verandert zelf in iets tastbaars – in een ‘totemistische leegte’ met een eigen substantie en gewicht. De verscheidenheid aan soorten is verdwenen en weggeschreven onder een verscheidenheid aan verzinsels en leugens. De nieuwe natuur kent nieuwe natuurwetten. Wie liegt wordt met leugens geconfronteerd, zoals de drie leugenaars waar deze film om draait aan den lijve ondervinden. Liegen is slechts een andere manier om de volgorde van letters te veranderen. De mens heeft zich buiten de orde van het dierenrijk geplaatst, en zit sindsdien vast in een oneindig proces van wording en naamgeving. Er bestaat vrijheid en er bestaat dwang – twee woorden voor dezelfde onvoorspelbaarheid.",Heeft de mens zich losgemaakt van natuurlijke classificatie en orde?,Task_3
c:vabb:530565,8331,1,Samenvatting: ERS Statement On Respiratory Muscle Testing At Rest And During Exercise,"Het beoordelen van de ademspierfunctie is van cruciaal belang voor de klinische praktijk. Verschillende methodologische ontwikkelingen in de afgelopen decennia hebben ons begrip van de
ademhalingsspierfunctie en de mogelijkheden om deze minimaal invasief in kaart te brengen aanzienlijk verbeterd. Metingen van de ademspierfunctie zijn zowel nuttig bij het diagnosticeren en fenotyperen van afwijkingen alsook bij het beoordelen en opvolgen van de werkzaamheid van verschillende behandelingen bij patiënten met chronische longaandoeningen en neuromusculaire ziekten. Recent heeft een ERS-taskforce de beschikbare ademhalingsspiertesten samengevat met bijzondere aandacht voor nieuwe inzichten die zijn verkregen sinds een eerder document dat in 2002 gepubliceerd werd. In de volgende samenvatting van dit document worden vooral de uitvoering en interpretatie van meetmethoden besproken die relevant zijn voor de dagelijkse klinische praktijk.",Hoe worden ademhalingsspierfuncties gemeten in de klinische praktijk?,Task_1
c:vabb:177984,429,1,Samen overleven: Relationele afstemming van nieuwe interafhankelijkheden tussen multiple actoren,Dit artikel schets multipartij samenwerking als alternatief voor de blauwdruk benadering die maakbaarheid vooropstelt. Aan de hand van een aantal case studies worden de belangrijkste aspecten verduidelijkt.,Welke aspecten kenmerken multipartij samenwerking als alternatief voor blauwdruk benadering?,Task_2
c:vabb:484515,7033,1,De zeventiende eeuw is goud én koud,"Geschreeuw over de 'Gouden Eeuw' is politici onwaardig, zeker historici als Mark Rutte en Bart De Wever.","Moeten politici, vooral historici, zich onthouden van gepolariseerde historische debatten?",Task_3
