query_id,score,corpus_id,original_query,document_text,synthetic_query,assigned_task_type
61694,1,61694,I&W EA Rijksbrede Aanbesteding Interim-Management en Organisatieadvies,In mei 2019 is de Rijks-brede Aanbesteding IMOA op de aanbestedingstool Tenderned gepubliceerd. De Aanbesteding is april 2020 ingetrokken. De insteek is om in het eerste kwartaal 2021 de Aanbesteding opnieuw te publiceren in de CTM aanbestedingstool. Voordat deze op de markt gezet wordt wil de Aanbestedende dienst zich goed voorbereiden en een aantal onderwerpen met de markt bespreken,Toelichting op ingetrokken aanbestedingen en toekomstig marktoverleg.,Task_2
42774,1,42774,Gemeente Mol : Eéngemaakte Kunstencampus,"Ontwerpopdracht voor de opmaak van een masterplan en de eerste, tweede en derde fase van het project ‘Eéngemaakte Kunstencampus’ op de site De Zwaan",Masterplannen voor geïntegreerde kunstencampussen worden vaak in fasen uitgevoerd.,Task_3
21065,1,21065,AI 2016-225 Damwanden en verankeringen eiland 1 en 3 Houthaven gemeente Amsterdam,Het aanbrengen van damwanden en verankeringen opeiland 1 en 3 in de Houthaven in de gemeente Amsterdam.,Welke aanbestedingen zijn er voor damwanden en verankeringen bij eilanden?,Task_1
93053,1,93053,57/52/3/18/032 - Area North-West - Omvorming van spoorinfrastructuur - Raamovereenkomst,"De opdracht bestaat hoofdzakelijk uit:Hoofdzaak:— De opbraak en aanleg (vernieuwen) van spoortoestellen in hoofd- en bijspoor,— De opbraak en aanleg (vernieuwen) van spoorstaven, dwarsliggers en ballast in hoofd- en bijspoor.",Wat zijn de belangrijkste werkzaamheden bij vernieuwen van spoorinfrastructuur?,Task_2
11525,1,11525,Raam overeenkomst bemeten en reinigen koelvloeistoffen.,"Het periodiek uitvoeren van kwaliteitsmetingen aan en zo nodig reinigen van de koelvloeistoffen van metaalbewerkingsmachines welke in gebruik zijn bij de Defensie onderdelen, inclusief het aan en afvoeren van de benodigde koelvloeistof en reinigingsmiddelen.",Bevestigen aanbestedingen periodiek onderhoud koelvloeistoffen productiemachines overheidssector?,Task_3
77281,1,77281,Proteïne interactie detectie systeem,"De Universiteit Utrecht wil weten wie in staat is een 'proteïne interactie detectie systeem' te leveren, conform de opgegeven technische specificaties.",Welke leveranciers bieden een systeem voor eiwitinteractie detectie aan?,Task_1
65387,1,65387,Marktconsultatie — AT-2020-17: marktgesprek toekomstige contracten van de Kustlijnzorg suppletiewerken (verwachte einddatum: 15.6.2021),AanleidingHet programma Kustlijnzorg binnen Rijkswaterstaat besteedt de suppleties langs de Nederlandse kust aan volgens een in 2010 vastgestelde inkoopstrategie met bijbehorende contract en organisatie. Toekomstige ontwikkelingen zoals duurzaamheid en mogelijke innovaties vragen ons om de huidige wijze van inkopen en contractering te herijken. Als aanloop daarnaartoe heeft het programma Kustlijnzorg in 2019 het voornemen kenbaar gemaakt om over te gaan op een andere contractvorm en -voorwaarden.Op woensdag 1.7.2020 houdt het projectteam een eerste (digitale) bijeenkomst (plenaire bijeenkomst met presentatie huidige inkoopstrategie).,Herziening inkoopstrategie kustbescherming duurzaamheid innovatie contractvormen,Task_2
85794,1,85794,PGO - Verlenging overeenkomst PGO Dordrecht-1,"De aanbesteding vindt plaats als een niet-openbare procedure op grond van het ARN2016 Deel II alsmede de Europees als oproep tot mededinging gepubliceerde Erkenningsregeling ProRail (EP2019), branchedeel Onderhoudsaannemers. 

 ProRail beheert de Nederlandse spoorweginfrastructuur. Dit beheer valt uiteen in uitbreidingsprojecten en onderhoud. ProRail maakt voor wat betreft het onderhoud onderscheid naar dagelijks onderhoud (functiehandhaving en functieherstel) en grootschalig onderhoud en grootschalige vernieuwing van de infrastructuur. 12 maanden verlenging van ""PGO Dordrecht-1""",Niet-openbare procedures worden gebruikt voor onderhoud van spoorinfrastructuur.,Task_3
61236,1,61236,Marktconsultatie - AT/2020/10: marktconsultatie Kentekenonderzoeken,"Deze marktconsultatie dient om relevante informatie over Kentekenonderzoeken te krijgen. Deze informatie kan worden gebruikt voor een eventuele aanbesteding. Rijkswaterstaat (RWS) beoogt, meer inzicht te krijgen in deze specifieke markt; meer inzicht te krijgen in de ervaring van de markt m.b.t. de onderwerpen zoals duurzaamheid; meer inzicht te krijgen in de (on)mogelijkheden van de marktpartijen; meer inzicht te krijgen in de marktontwikkelingen, trends en innovatieve oplossingen.RWS benadrukt dat er aan deze marktconsultatie geen rechten kunnen worden ontleend. Verkregen inzichten uit de marktconsultatie gebruikt RWS (waar relevant): in de voorbereiding van een eventuele aanbesteding, RWS behoudt zich het recht voor om deze inzichten niet of niet volledig te gebruiken, RWS probeert zo transparant mogelijk te werk te gaan, door algemeen verslag van de marktconsultatie te sturen naar de deelnemende partijen.",Welke marktinzichten zijn er voor aanbestedingen voertuigidentificatie en duurzaamheid?,Task_1
58609,1,58609,Raamovereenkomst voor het verzorgen van cateringdiensten in het Vlaams Parlement.,"Het Vlaams Parlement wil overeenkomstig artikel 32 van de wet Overheidsopdrachten een raamovereenkomst afsluiten met één deelnemer voor het verzorgen van cateringdiensten in het Vlaams Parlement.Aansluitend op de gunning van de raamovereenkomst plant de aanbestedende overheid over te gaan tot de gunning van volgende deelopdrachten:1. het uitbaten van het zelfbedieningsrestaurant;2. het uitbaten van het à la carte restaurant De Daktuin;3. het beleveren van de kitchenettes met diverse dranken, fruit, koekjes, enz.4. het verzorgen van de interne catering, zijnde het leveren van diverse bereide gerechten (koude schotels, buffetten en broodjes, enz.) en dranken aan het bezoekerscentrum De Loketten, vergaderzalen in de parlementsgebouwen, enz.;5. het verhuren en onderhouden van koffieautomaten en het leveren van koffie.Daarnaast kan de aanbestedende overheid in de loop van de raamovereenkomst overgaan tot de gunning van andere deelopdrachten inzake catering, zoals bijvoorbeeld het verzorgen van recepties, walking dinners, evenementen, feestelijkheden, …De aanbestedende overheid verbindt zich niet tot de plaatsing van alle of bepaalde van de hier vermelde deelopdrachten.",Welke cateringdiensten omvat een raamovereenkomst voor overheidsgebouwen?,Task_2
78722,1,78722,Specialist kwijtschelding,Vanaf februari 2015 zijn wij op zoek naar een Specialist kwijtschelding. ,Bevestigen aanbestedingen de behoefte aan kwijtscheldingsexpertise?,Task_3
133288,1,133288,Onderhoudswerkzaamheden aan boord van ms Wielingen,Onderhoudswerkzaamheden aan boord van ms Wielingen,Welke bedrijven bieden onderhoudswerkzaamheden aan voor vaartuigen?,Task_1
120974,1,120974,"Vervanging van componenten van conferentiezalen van Defensie, aangevuld overeenkomst voor onderhoud van audiovisueel materieel van betrokken conferentiezalen (1SD800).",Vervanging van componenten van conferentiezalen van Defensie en onderhoud van audiovisueel materieel van betrokken conferentiezalen (1SD800).,Zoek aanbestedingen voor modernisering audiovisuele systemen in vergaderzalen.,Task_2
61272,1,61272,Europese aanbesteding Op- in- en uitbouw Videoregistratie Onopvallende Surveillance voertuigen,"De opdracht is het realiseren van compleet op- en ingebouwde videoregistratie onopvallende surveillance voertuigen voor alle eenheden, inclusief storingsopvolging en reparatie aan op- en inbouwapparatuur en materialen. Hierna te noemen VROS-voertuigen. Tot deze opdracht behoort ook het uitbouwen van de systemen uit de ingebouwde voertuigen en in de nieuw aangeschafte voertuigen weer in te bouwen. Hiermee wordt bedoeld het uitbouwen van nog werkbare systemen uit de afgeschreven voertuigen in de nieuwe voertuigen.",Aanbestedingen voor hergebruik van bestaande systemen in voertuigen.,Task_3
39380,1,39380,Schoonmaakonderhoud en glasbewassing Radboud Universiteit Nijmegen.,De huidige overeenkomst met betrekking tot het schoonmaakonderhoud en glasbewassing eindigt binnenkort waardoor er behoefte aan een nieuwe overeenkomst ontstaat. De Radboud Universiteit wil door middel van een Europese Openbare aanbesteding met 1 leverancier een overeenkomst afsluiten. Bij deze aanbesteding maakt de Radboud Universiteit geen onderverdeling in percelen. Daarnaast kiest de Radboud Universiteit voor een ander wijze van benadering van het schoonmaakonderhoud middels een resultaatgericht contract.,Zoek aanbestedingen voor resultaatgericht schoonmaakonderhoud en glasbewassing,Task_1
65436,1,65436,Sportaccommodatievervoer,"Dit is een gezamenlijke aanbesteding van de gemeente Venlo en de gemeente Venray.Sportaccommodatievervoer per touringcar voor het reguliere basisonderwijs, speciaal onderwijs en speciaal voortgezet onderwijs.Het gaat om vervoersbewegingen van school naar de sportaccommodatie en van de sportaccommodatie terug naar school.",Uitleg gezamenlijke aanbesteding sportvervoer leerlingen onderwijs touringcar,Task_2
30108,1,30108,EA Schoonmaakdienstverlening en glasbewassing,De dienstverlening wordt uitgevoerd op de campus van het Deltion College in Zwolle. Het totaal aantal vierkante meters in onderhoud bedraagt circa 77.000 m2 schoonmaakonderhoud en 76.000 m2 glasbewassing.De scope van de opdracht omvat de volgende werkzaamheden:- Het verzorgen van reguliere en periodieke schoonmaakwerkzaamheden;- Het verzorgen van glasbewassingdienstverlening;- Het uitvoeren van extra (specialistische) werkzaamheden op afroep.Deltion College wil na gunning van de opdracht een overeenkomst sluiten met één inschrijver voor een periode van drie jaar met de mogelijkheid om zes maal te verlengen voor een periode van één jaar.,Bevestigen aanbestedingen door onderwijsinstellingen gecombineerde schoonmaak en glasbewassing?,Task_3
133168,1,133168,"Projectbegeleiding, opmaak masterplan en opstellen ontwerpen voor LSM-project „ALKEN2020 Valley”.","Opdracht nr. 2015/028: De opdracht omvat de volledige trajectbegeleiding (opmaak masterplan, GRUP en ontwerpen) voor de uitwerking van het LSM-project nr. 309 voor de verbetering van het publieke domein rond De Alk:„ALKEN2020 Valley”.De opdracht omvat de opmaak van een visie-masterplan, en GRUP en tevens de opmaak van alle noodzakelijke ontwerpen voor de realisatie van het project.Het project bestaat uit de vernieuwing en de uitbreiding van de omgeving rond het bestaande recreatiedomein „De Alk”. Het projectgebied van Alken 2020Valley strekt zich uit over het volledig sport- en recreatiedomein „De Alk”, uitgebreid met de huidige parking „Sporthal”, het gebied met de Dorpsmolen, het binnengebied RUP Centrum IV, het plein „Laagdorp” en het huidige gemeenschapscentrum „Taeymans” met voorliggende kapelanijen.Met het project wil de gemeente Alken o.a. onderzoek uitvoeren naar de eventuele realisatie van het bij LSM ingediende project in verband met de uitvoering van verschillende deelprojecten binnen het projectgebied.Het is een opdracht voor aanneming van diensten conform de vigerende wetgeving op de overheidsopdrachten:Het studiebureau is als trajectbegeleider tevens belast met de opmaak of aanpassing van een Gemeentelijk Ruimtelijk Uitvoeringsplan (GRUP) dat de realisatie van het project mogelijk moet maken.Tevens omvat de opdracht de leiding, de planning en coördinatie tijdens de programma-, ontwerp- en uitvoeringsfasen, en de begeleiding van de aanbestedingsprocedure(s). Het zal tevens instaan voor een kwaliteitscontrole gedurende het hele proces en bewaking van het budget en het zoeken naar financiering door subsidies en toelagen. Bovendien zal het bijstand verlenen aan de opdrachtgever gedurende de opleveringsprocedures.",Gezocht: projectbegeleiding voor herontwikkeling publiek domein inclusief ontwerp en uitvoering.,Task_1
75624,1,75624,Marktconsultatie bureaustoelen.,De aanleiding van onderhavige aanbesteding is de behoefte en het voornemen van opdrachtgever om op korte termijn de huidige bureaustoelen te vervangen. Daarnaast wenst opdrachtgever te beschikken over een rechtmatig verworven overeenkomst die ook voorziet in het onderhoud van de aangeschafte bureaustoelen en de mogelijke toekomstige behoefte (gedurende de looptijd van de overeenkomst) aan bureaustoelen.Zie de offerteaanvraag voor meer informatie.,Tender voor nieuwe bureaustoelen met service en uitbreidingsmogelijkheden,Task_2
24593,1,24593,EA medische voorraadinrichting.,Aanbestedende dienst wilt een contract aangaan met een leverancier voor de levering en plaatsing van medische voorraadinrichting.,Aanbestedingen voor inrichting en plaatsing van medische opslagsystemen.,Task_3
104580,1,104580,Toegangscontrolesysteem,Het leveren en installeren van online draadloos toegangscontrolesystemen.,Wie kan online draadloze oplossingen voor toegangsbeheer leveren?,Task_1
34962,1,34962,Bestek 980-4 Revitalisering Verheulsweide 4e fase.,"Het werk bestaat in hoofdzaak uit:a. verkeersmaatregelen,b. opruimingswerk,c. grondwerk,d. rioleringswerk,e. elementenverhardingen,f. asfalt werkzaamheden,g groenvoorzieningen,h inrichtingswerkzaamheden.","Welke soorten werkzaamheden zijn onderdeel van een grond-, weg- en waterbouw project?",Task_2
38740,1,38740,Aanbesteding Wegenzout Twente Milieu NV.,"Twente Milieu NV te Enschede zet mede voor de Gemeente Almelo, Borne. Enschede en Hengelo de Europese aanbesteding voor wegenzout in de markt. Twente Milieu NV is in dit geval de Aanbestedende dienst omdat Twente Milieu NV zorg draagt voor de inkoop van Wegenzout. De gemeenten zijn in deze de opdrachtgevers.",Aanbestedingen waar een externe partij strooizout voor gemeenten inkoopt.,Task_3
15173,1,15173,De financiering van investeringen.,De financiering van investeringen.,Hoe regel ik de financiering van nieuwe investeringen?,Task_1
20608,1,20608,Openbare Europese aanbesteding vakliteratuur.,"De onderhavige opdracht heeft betrekking op de levering en beheer van vakliteratuur van de gemeente Nijmegen en alle aanvullende werkzaamheden die hiermee gepaard gaan, waaronder: — het leveren, beheren en verzorgen van de vakliteratuur (boeken, e-books, abonnementen op kennissystemen/databanken, tijdschriften, losbladige uitgaven, dag- en weekbladen indien beschikbaar individuele artikelen uit tijdschriften en/of dagbladen, serie- en vervolgwerken en elektronische publicaties, incl. het verzorgen van naleveringen); — het aangaan, verlengen en/of opzeggen van abonnementen; — het wijzigen van abonnementsgegevens; — het bestellen van éénmalige uitgaven; — de registratie en afhandeling van orders (verwerken van bestellingen, annuleringen, ontvangst-registratie, rappelleren, verwerken mutaties); — het controleren en betalen van facturen aan de uitgevers en de verzorging van de centrale facturering aan opdrachtgever; — het periodiek leveren van managementinformatie; — leveren van inhoudelijke kennis over beschikbare informatiebronnen; — beschikbaar stellen van een digitale bestel- en beheeromgeving; — helpdeskfunctie voor het bestelsysteem; — informatieverstrekking en advisering over toekomstige ontwikkelingen in de markt, de mogelijkheden om papieren abonnementen door digitale abonnementen te vervangen, de aanschaf van (juridische) online kennissystemen en een digitale portal met integrale zoekfunctie; — de annuleringsmogelijkheden van abonnementen en de attendering van de opzegtermijnen door opdrachtnemer; — overname en overdracht van het (administratief) beheer van het totale bestand aan vakliteratuur bij de wisseling van opdrachtnemer.",Welke ontwikkelingen beïnvloeden het beheer van digitale vakliteratuur?,Task_2
116729,1,116729,Ketelreiniging 2021-2022,"Ketelreinigingswerkzaamheden op de drie lijnen in de huisvuilverbrandingsoven IVBO te Brugge.Deze opdracht bevat vier percelen met geplande en niet geplande uitvoeringen:— perceel 1: offline-veiligheidsreiniging,— perceel 2: stellingbouw,— perceel 3: natte ketelreiniging,— perceel 4: online-veiligheidsreiniging.De aandacht van de inschrijver wordt erop gevestigd dat er toepassing kan gemaakt worden dat dezelfde werken in 2023 via onderhandelingsprocedure worden toegewezen aan de aannemer die de eerste opdracht kreeg.",Aanbestedingen die aantonen dat ketelreiniging via onderhandeling wordt verlengd?,Task_3
56057,1,56057,Transport en Opslag Museale Objecten,"De opdracht heeft betrekking op het transport (het uithuizen) van museale objecten uit diverse gebouwdelen binnen het complex van Paleis Het Loo en de tijdelijke opslag van een deel daarvan in een extern depot, ten behoeve van de werkzaamheden die zullen plaatsvinden in het kader van de renovatie van Paleis Het Loo en de realisatie van de ondergrondse uitbreiding.",Aanbestedingen voor verhuizing en tijdelijke opslag kunstobjecten tijdens verbouwing.,Task_1
127861,1,127861,EA_Schoonmaakdienstverlening_2014_Stichting Stedelijk Dalton Lyceum Locatie Kapteynweg.,"Stichting Stedelijk Dalton Lyceum Dordtrecht is voornemens Schoonmaakdienstverlening in te kopen voor de Locatie Kapteynweg. Het doel van deze Europese aanbesteding is te komen tot een Overeenkomst met 1 Opdrachtnemer voor de Schoonmaakdienstverlening aan Stichting Stedelijk Dalton Lyceum Dordrecht. Deze opdracht wordt gegund aan de Inschrijver die, de economische meest voordelige inschrijving heeft uitgebracht. Meer informatie over deze Europese aanbesteding treft Inschrijver aan in de Gunningsleidraad, Vragenlijsten en prijslijst.",Europese aanbesteding schoonmaakdiensten: selectiecriteria en benodigde informatie,Task_2
62348,1,62348,Aanpassingen RWZI Tilburg,Het doel van deze aanbesteding is om één opdrachtnemer te contracteren middels een Raamovereenkomst. Binnen deze Raamovereenkomst worden in de komende jaren meerdere bouwteamovereenkomsten afgesloten met deze opdrachtnemer. In iedere bouwteamovereenkomst zal een opdracht c.q. project nader worden uitgewerkt. De opdrachtnemer krijgt daarbij de mogelijkheid om na de bouwteamfase als eerste en enige een aanbieding te doen voor de realisatiefase van deze opdracht.,Kan een opdrachtnemer exclusief de realisatiefase uitvoeren na ontwikkelingsfase?,Task_3
19865,1,19865,Landelijk — seizoensdiensten locomotieven.,"Het leveren van seizoensdiensten (ontijzel- en sanditeritten) voor ProRail gedurende de winterseizoenen, start eind 2016.",Aanbestedingen voor winterdiensten: ontijzelen en gladheidsbestrijding spoorwegen.,Task_1
62349,1,62349,Ondersteunende dienstverlening bij Europese subsidietrajecten,"Europese aanbesteding voor ondersteunende dienstverlening bij Europese subsidietrajecten. Het Bureau Beleidscoördinatie en Advies van de provincie Zuid-Holland adviseert en begeleidt aanvragen vanuit de provincie Zuid-Holland van Europese subsidies en de uitvoering van projecten die met Europese subsidies worden gerealiseerd. Bij de begeleiding en uitvoering van Europese subsidietrajecten is er behoefte aan de inhuur van expertise en extra capaciteit. De werkzaamheden bestaan voornamelijk uit het direct informeren over Europese subsidies, schrijven van projectvoorstellen, aanvragen van Europese subsidies en ondersteuning bij de uitvoering van Europese subsidies niet zijnde het inhoudelijke gedeelte.",Welke ondersteuning is nodig bij Europese subsidieaanvragen en projectuitvoering?,Task_2
72298,1,72298,"Overheidsopdracht betreffende het preventief, correctief en opvolgingsonderhoud voor de onbemande vliegtuigen ('UAV': Unmanned Aerial Vehicle) van de Luchtcomponent, alsook technische steun, de verwerving van wisselstukken en gereedschap.","Overheidsopdracht betreffende het preventief, correctief en opvolgingsonderhoud voor de onbemande vliegtuigen ('UAV': Unmanned Aerial Vehicle) van de Luchtcomponent, alsook technische steun, de verwerving van wisselstukken en gereedschap.",Bevestigen aanbestedingen uitbesteding preventief onderhoud onbemande vliegtuigen?,Task_3
40533,1,40533,215. - DICT - Senior Netwerkbeheerder,"Gemeente Amsterdam heeft regelmatig behoefte aan externe inhuur van diverse expertise en capaciteit. Gemeente Amsterdam nodigt geïnteresseerde Ondernemers voor de vakgebieden uit om zich te registreren op het CTM platform en aan te melden voor het platform Externe inhuur. Ondernemers kunnen zich aanmelden voor één of meerdere vakgebieden binnen. Zodra gemeente Amsterdam behoefte heeft aan externe inhuur, wordt de offerteaanvraag in het platform Externe inhuur uitgezet. Ondernemers kunnen zich aanmelden voor de het platform Externe inhuur conform de minimaal gestelde eisen. Aan de toelating kan geen recht op opdrachten worden ontleend. Het platform Externe inhuur wordt als pilot voor een jaar ingesteld om tijdelijk extern personeel in te huren voor Stadsdeel West, Stadsdeel Zuid, Dienst Werk en Inkomen (DWI) en Dienst Infrastructuur Verkeer en Vervoer (DIVV). Op termijn kunnen andere vakgebieden en/of gemeentelijke organisaties worden toegevoegd.Het platform Externe inhuur voor externe inhuur heeft betrekking op functies in de volgende vakgebieden (onder voorbehoud van ontwikkelingen/uitbreidingen): - Facilitair - HRM - Inkoop - Juridisch - Communicatie - Bedrijfskundig - (Bouw) technisch - Beleid - Interim management - Organisatie Advies - Sociaal Domein (-Klantmanagers - inkomensconsulenten - Budgetconsulenten - Projectconsulenten - Handhavingspecialisten - Algemeen medewerkers Voorzieningen).",Welke expertisegebieden zoeken gemeenten voor tijdelijke externe capaciteit?,Task_1
73099,1,73099,Inspecteurswerkzaamheden calamiteiten en gladheid.,"De provincie Noord-Brabant wil met 1 leverancier, een raamovereenkomst afsluiten voor het uitvoeren van de volgende onderstaande dienstverlening:— de coördinatie en afhandeling van calamiteiten buiten kantooruren (dus ook op zaterdagen, zondagen, feestdagen en brugdagen (maximaal 7 collectieve vrije dagen per jaar rondom de feestdagen);— de controle tijdens en na curatieve gladheidsbestrijding;— het schouwen van de provinciale wegen op mogelijke gladheid op verzoek van de gladheidscoördinator.",Informatie over aanbestedingen voor calamiteitenafhandeling en gladheidsbestrijding buiten kantooruren.,Task_2
36592,1,36592,Oplossing Document Management en Record Management,"De gemeente Amersfoort zoekt een prestatiegerichte contractpartij die zorg draagt voor het implementeren en onderhouden gedurende maximaal 10 jaar van een goed werkende Oplossing voor Document Management (DM) en Record Management (RM) ten behoeve van demedewerkers van de gemeente Amersfoort.Gezien het hoge belang van de kwaliteit van de te bouwen oplossing zal deze aanbesteding worden uitgevoerd met toepassing van de Best Value Procurement (BVP) methodiek, ook wel Prestatie-inkoop genoemd. Hierbij stelt de aanbesteder een functioneel gespecificeerde uitvraag op.De inschijvers tonen in hun Inschrijvingen aan door een beschrijving van hun oplossing, de risico's en kansen die zij zien, DE EXPERT te zijn die de aanbesteder zoekt.",Worden aanbestedingen voor documentbeheer uitgevoerd met focus op expertise?,Task_3
58174,1,58174,"Raamovereenkomst voor het leveren, plaatsen, onderhouden en herstellen van industriële pompen en (fontein)beluchters.","Het afsluiten van een raamovereenkomst voor het leveren, plaatsen, onderhouden en herstellen van industriële pompen en (fontein)beluchters.","Raamovereenkomst levering, plaatsing, onderhoud en herstel industriële pompen en beluchters",Task_1
847,1,847,Schoonmaakdienstverlening,De schoonmaakcontracten van 32 scholen (primair onderwijs en voortgezet onderwijs) worden middels deze Aanbesteding in de markt gezet.,Aanbesteding schoonmaakcontracten voor ruim dertig scholen primair en voortgezet onderwijs,Task_2
113820,1,113820,"Leveren van inzamelmiddelen voor GFT, GR afvalinzameling Land van Cuijk en Boekel",De overeenkomst bestaat uit het de volgende leveringen: -  leveren van minicontainers; -  leveren van afvalemmers; -  leveren van citybins. De overeenkomst wordt aangegaan voor een periode van minimaal 4 jaar en maximaal 6 jaar (4 jaar + 2 x 1 jaar). De ingangsdatum van de overeenkomst is 1 januari 2022.,Aanbestedingen voor afvalinzameling duren altijd langer dan zes jaar?,Task_3
66454,1,66454,HRM-systeemintegratie- en salarisverwerkingsdiensten.,Perceel 1: Verwerving en implementatie van een nieuw personeelsinformatiesysteem (HRM).Perceel 2: Salarisverwerkingsdiensten.,Zoek aanbestedingen voor een nieuw personeelsinformatiesysteem en salarisverwerking,Task_1
